score 84313.0
8 $ 743.0 hands 10 W 0 E 3 WH 6 ST 12 ME 14 WTR 37 DIG 0 FERT 0 HV 3 DROP 4 SELLM 0 PL {'CARROT': 2, 'WHEAT': 7, 'MELON': 2}
9 $ 2246.0 hands 10 W 0 E 1 WH 7 ST 12 ME 14 WTR 35 DIG 0 FERT 0 HV 3 DROP 7 SELLM 0 PL {'WHEAT': 1}
10 $ 2291.0 hands 11 W 0 E 17 WH 19 ST 12 ME 10 WTR 32 DIG 0 FERT 0 HV 6 DROP 3 SELLM 6 PL {'WHEAT': 14}
11 $ 5088.0 hands 11 W 1 E 7 WH 32 ST 12 ME 6 WTR 53 DIG 1 FERT 0 HV 6 DROP 0 SELLM 18 PL {'WHEAT': 15}
12 $ 11479.0 hands 11 W 3 E 9 WH 33 ST 12 ME 2 WTR 39 DIG 5 FERT 1 HV 8 DROP 5 SELLM 37 PL {'WHEAT': 4, 'STRAWBERRY': 4}
13 $ 11457.0 hands 11 W 3 E 5 WH 35 ST 14 ME 2 WTR 47 DIG 2 FERT 3 HV 2 DROP 1 SELLM 5 PL {'STRAWBERRY': 2, 'WHEAT': 6}
14 $ 11982.0 hands 11 W 3 E 6 WH 33 ST 15 ME 2 WTR 48 DIG 0 FERT 0 HV 13 DROP 2 SELLM 0 PL {'STRAWBERRY': 1, 'WHEAT': 5}
15 $ 15427.0 hands 11 W 7 E 5 WH 28 ST 17 ME 2 WTR 46 DIG 1 FERT 4 HV 8 DROP 3 SELLM 0 PL {'WHEAT': 6, 'STRAWBERRY': 2}
16 $ 16652.0 hands 11 W 8 E 5 WH 25 ST 19 ME 2 WTR 41 DIG 7 FERT 1 HV 12 DROP 4 SELLM 0 PL {'WHEAT': 10, 'STRAWBERRY': 2}
17 $ 19656.0 hands 11 W 6 E 4 WH 28 ST 20 ME 1 WTR 49 DIG 5 FERT 2 HV 8 DROP 3 SELLM 0 PL {'WHEAT': 7, 'STRAWBERRY': 2}
18 $ 21989.0 hands 11 W 5 E 6 WH 27 ST 21 ME 0 WTR 45 DIG 0 FERT 0 HV 17 DROP 4 SELLM 0 PL {'WHEAT': 6, 'STRAWBERRY': 1}
19 $ 28900.0 hands 11 W 9 E 5 WH 24 ST 21 ME 0 WTR 44 DIG 2 FERT 5 HV 8 DROP 2 SELLM 6 PL {'WHEAT': 3, 'STRAWBERRY': 1}
20 $ 34427.0 hands 11 W 8 E 4 WH 24 ST 23 ME 0 WTR 43 DIG 2 FERT 1 HV 14 DROP 4 SELLM 0 PL {'WHEAT': 5, 'STRAWBERRY': 2}
